City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
275,biltine,33.49,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
276,celestun,30.65,scattered clouds,20.8667,-90.4,Posada Lilia
277,male,28.49,broken clouds,4.1748,73.5089,Hotel Octave Maldives
279,asfi,19.05,clear sky,32.2994,-9.2372,Hôtel Abda
280,acari,24.41,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
281,caravelas,25.42,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
283,altona,22.81,few clouds,53.55,9.9333,Clipper Elb-Lodge
285,busko-zdroj,15.05,overcast clouds,50.4708,20.7188,Gromada
288,maldonado,12.9,clear sky,-34.6667,-54.9167,La Cimarrona
289,henties bay,17.7,clear sky,-22.116,14.2845,Fishermans Guest House
290,hami,24.44,clear sky,42.8,93.45,Laoyutang Resort
291,ornskoldsvik,17.9,clear sky,63.2909,18.7153,ファーストホテル スタット
292,hamilton,19.56,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
293,balkhash,23.33,overcast clouds,46.843999999999994,74.9804,Family
294,fukue,20.15,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
295,bure,16.36,light rain,10.7,37.0667,Holiday
296,haapiti,27.85,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
298,komsomolskiy,26.4,scattered clouds,40.4272,71.7189,Ikathouse
299,nabire,24.13,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
300,worcester,27.32,overcast clouds,42.3334,-71.8328,Classic Suites & Inns
301,kongolo,23.93,broken clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
302,yenagoa,25.34,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
303,quang ngai,26.39,broken clouds,15.1167,108.8,Central Hotel
304,namibe,22.25,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
305,chekhov,16.13,broken clouds,55.1431,37.4711,Domik v derevne
307,dandong,15.92,light rain,40.1292,124.3947,Yiranju Farmstay
309,wenling,25.51,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
312,bilma,35.15,few clouds,18.6853,12.9164,Expeditions Ténére voyages
313,faanui,26.97,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,grants pass,32.56,clear sky,42.43899999999999,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
315,keti bandar,28.99,broken clouds,24.1447,67.4497,Haji laloo memon house
316,malakal,30.44,light rain,9.5334,31.6605,Nile Palace Hotel
318,atar,33.53,overcast clouds,20.5169,-13.0499,Oumou Elghoura
319,aloleng,25.97,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
320,fairbanks,16.72,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
322,bouna,29.43,broken clouds,9.2667,-3.0,Hotel Reserve
323,guerrero negro,22.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
324,glendive,29.83,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
325,goderich,25.11,overcast clouds,43.7501,-81.7165,Harmony Inn
326,santa rosa,27.73,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
327,eyl,26.84,broken clouds,7.9803,49.8164,Amiin Hotel
328,bideford,19.91,overcast clouds,51.0179,-4.2046,Durrant House Hotel
329,la peca,29.12,light rain,-5.6111,-78.435,Hospedaje San Miguelito
330,katherine,22.18,overcast clouds,-14.4667,132.2667,Pine Tree Motel
332,casa nova,30.78,broken clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
333,saint-francois,20.38,clear sky,46.4154,3.9054,Manoir Du Bonheur
334,ambilobe,23.46,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
335,saint anthony,28.08,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
337,vanimo,24.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
338,blankenburg,15.76,overcast clouds,51.7833,10.95,Hotel im Harz - Kurhotel Fürstenhof und Restaurant Vis-A-Vis
339,neuquen,12.94,clear sky,-38.9516,-68.0591,Hotel del Comahue
340,mina,30.82,overcast clouds,26.0011,-100.5299,Mina ctl
341,jiuquan,13.41,clear sky,39.7432,98.5174,Jiuquan Hotel
343,nishihara,25.81,broken clouds,26.1842,127.7558,Minshuku Agaihama
346,nichinan,21.2,light rain,31.6,131.3667,Guest House Aki
348,wangou,11.6,moderate rain,42.0623,126.9127,Changbaishan Restaurant
349,kualakapuas,23.09,broken clouds,-3.0091,114.3876,Guest House Izonk
350,pecos,28.36,clear sky,31.4229,-103.4932,Knights Inn Pecos
351,eten,19.98,overcast clouds,-6.9081,-79.8642,Hospedaje Sol Radiante
352,champerico,33.76,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
353,manali,30.04,clear sky,13.1667,80.2667,Sarathy Lodge
355,san jeronimo,17.22,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
356,saryagash,30.98,few clouds,41.4511,69.1701,fatyCentre Paradise
357,hay river,13.32,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
358,vao,20.8,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
359,jiexiu,18.53,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
360,collie,10.03,few clouds,-33.3667,116.15,Collie Ridge
361,bell ville,23.22,clear sky,-32.6259,-62.6887,Hotel Central
363,catuday,25.52,overcast clouds,16.2923,119.8062,GResort
